"","Country","Countrycode","Date.str2","Date","Area","GDP","Le","Pop","Tour.arrive","Maternal.mortalityratio","Democ","National.income","Elderly.pop","Growth.rate","Growth.rate.pre","Growth.rate.post","New.Growth.rate","New.Growth.rate.pre","New.Growth.rate.post","Confirmed.cases","Confirmed.cases.pre","newcase","newcase.pre","newcase.post","newcase.lag2","newcase.lag3","newcase.lag4","newcase.lag5","newcase.lag6","is.case.30","Policy","Policy.indicator","Policy.indicator.pre","Rela.Date30","Treatment.cum30","Treatment.prop30","Treatment.within14.prop","Treatment.within4_10.prop","case.day0.30","is.case.50","Rela.Date50","Treatment.cum50","Treatment.prop50","case.day0.50","school.closure","school.closure.pre","school.closure.day0.30","school.closure.day0.50","workplace.close","workplace.close.pre","workplace.close.day0.30","workplace.close.day0.50","cancel.public.events","cancel.public.events.pre","cancel.public.events.day0.30","cancel.public.events.day0.50","gather.restriction","gather.restriction.pre","gather.restriction.day0.30","gather.restriction.day0.50","transport.close","transport.close.pre","transport.close.day0.30","transport.close.day0.50","inter.move.restriction","inter.move.restriction.pre","inter.move.restriction.day0.30","inter.move.restriction.day0.50","inter.move.travel","inter.move.travel.pre","inter.move.travel.day0.30","inter.move.travel.day0.50","test.policy","test.policy.pre","test.policy.day0.30","test.policy.day0.50","contact.trace","contact.trace.pre","contact.trace.day0.30","contact.trace.day0.50","Test","Test.7smooth","Test.per","Test.per.7smooth","Time_length","Time_length_50"
"1","Australia","AUS","2020-01-22",2020-01-22,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,27,0,0,NA,NA,39,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,NA,1,1,0,NA,1,1,NA,NA,NA,NA,85,87
"2","Australia","AUS","2020-01-23",2020-01-23,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,NA,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"3","Australia","AUS","2020-01-24",2020-01-24,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"4","Australia","AUS","2020-01-25",2020-01-25,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,1.6094379124341,0,0,1.6094379124341,0,0,0,0,4,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"5","Australia","AUS","2020-01-26",2020-01-26,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,1.6094379124341,0,0.182321556793955,1.6094379124341,0,-0.916290731874155,4,0,4,0,1,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"6","Australia","AUS","2020-01-27",2020-01-27,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.182321556793955,1.6094379124341,0,-0.916290731874155,1.6094379124341,-0.693147180559945,5,4,1,4,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"7","Australia","AUS","2020-01-28",2020-01-28,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.182321556793955,0.154150679827258,-0.693147180559945,-0.916290731874155,0.693147180559945,5,5,0,1,1,4,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"8","Australia","AUS","2020-01-29",2020-01-29,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.154150679827258,0,0.356674943938733,0.693147180559945,-0.693147180559945,0.693147180559945,6,5,1,0,3,1,4,0,0,0,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"9","Australia","AUS","2020-01-30",2020-01-30,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.356674943938733,0.154150679827258,0,0.693147180559945,0.693147180559945,-1.38629436111989,9,6,3,1,0,0,1,4,0,0,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"10","Australia","AUS","2020-01-31",2020-01-31,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.356674943938733,0.262364264467491,-1.38629436111989,0.693147180559945,1.38629436111989,9,9,0,3,3,1,0,1,4,0,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,85,87
"11","Australia","AUS","2020-02-01",2020-02-01,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.262364264467491,0,0,1.38629436111989,-1.38629436111989,-1.38629436111989,12,9,3,0,0,3,1,0,1,4,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,NA,NA,NA,NA,85,87
"12","Australia","AUS","2020-02-02",2020-02-02,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.262364264467491,0,-1.38629436111989,1.38629436111989,0,12,12,0,3,0,0,3,1,0,1,0,0,0,0,0,NA,NA,0,0,27,0,0,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,85,87
