"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,146,146,146
"23",25,158,158,158
"24",26,165,165,165
"25",27,175,175,175
"26",28,188,188,188
"27",29,195,195,195
"28",30,280,280,280
"29",31,417,417,417
"30",32,713,713,713
"31",33,996.003002625594,997.428106585685,996.72436112383
"32",34,1322.04390146322,1328.54349211575,1325.32708393995
"33",35,1598.13231606898,1612.77940335694,1605.51238987004
"34",36,2093.87299975607,2133.20409203592,2113.59925282607
"35",37,2980.99168771374,3086.58957619439,3033.64129155199
"36",38,4003.63943986943,4221.40858703616,4111.56975763515
"37",39,5468.30321473983,5896.45745690932,5678.93345279617
"38",40,7202.18883697503,7951.65001827749,7567.95105745656
"39",41,8762.22959223367,9871.85297092567,9299.72337839829
"40",42,10996.11758889,12788.5921731621,11854.6615621807
"41",43,13139.485594802,15645.0109376078,14328.067174618
"42",44,16057.8463919329,19717.6133295457,17771.4919017327
"43",45,19715.5560055663,24976.2931650472,22143.7467695192
"44",46,24430.7609853614,32516.4260267225,28093.7917457363
"45",47,29902.7617879237,41925.0266546848,35248.0524499614
"46",48,36495.9995653163,54284.0750960148,44249.3140550702
"47",49,42355.5346632435,64050.0141223081,51704.9766114202
"48",50,54501.9805263196,88859.377159061,68900.4897013966
"49",51,66631.5377736653,118489.808989201,87838.1332983643
"50",52,87770.6620422251,161252.376154159,117211.633562085
"51",53,110480.361042631,220708.598513323,153537.26650654
"52",54,136425.384810586,293826.416170699,196541.482966684
"53",55,165624.62604969,376710.978770987,244706.800032093
"54",56,200013.825043997,484625.63980506,304448.216753319
"55",57,245790.882428297,640067.5150275,387144.126057733
"56",58,311272.991533028,878873.159339027,509449.715826857
"57",59,391081.390576899,1198494.36445924,665988.657327891
"58",60,486334.467247587,1619408.60291137,862444.240912737
"59",61,579380.662322631,2057944.21989834,1060247.51740493
"60",62,682427.574530246,2526303.16393163,1272355.69442483
"61",63,801895.10392988,3145422.70901542,1536689.90468946
"62",64,947743.771293888,3913560.08810377,1859456.16947111
"63",65,1141116.36508101,5023220.39804751,2307053.22699729
"64",66,1353909.49044137,6320889.85426458,2814293.85833259
"65",67,1595049.72324272,7918962.18028559,3413467.02878043
"66",68,1822687.57414664,9587637.18411657,4009931.76956258
"67",69,2053244.53794727,11239437.8183887,4601079.74770462
"68",70,2329178.08972283,13304428.5844957,5321788.89893416
"69",71,2667102.56766932,16176069.943059,6267910.12882055
"70",72,3044172.1447807,19614613.218955,7362699.86871488
"71",73,3462064.88083063,23716346.0137217,8620518.04988022
"72",74,3914349.66244738,28772496.9234967,10079805.6235012
"73",75,4372816.45969601,34316462.5294284,11620480.916971
"74",76,4827607.83213835,40011146.8547913,13168752.3115872
"75",77,5325114.76452762,46202256.7727828,14848145.7180453
"76",78,5982532.69470548,55444594.231244,17216672.0608996
"77",79,6733459.33442839,67350450.687818,20098514.7702827
"78",80,7541787.39827987,80985012.3784944,23291720.4730079
"79",81,8471092.54615622,99649268.5656959,27336542.9546386
"80",82,9634053.46181468,120781131.110771,32047315.3557638
"81",83,10502367.226683,139919956.514608,35984525.1151198
"82",84,11418788.6453451,161737279.040212,40298122.9064825
"83",85,12525578.3365897,187285537.265155,45393754.6884683
"84",86,14223413.5023673,230113791.190603,53549432.3069905
"85",87,15838248.8852626,277420779.049274,61999168.8217542
"86",88,17347282.3702344,331193513.780505,70802991.2957378
"87",89,19144589.7733107,391528003.459834,80828418.2892295
"88",90,20723250.2736414,447390285.03721,89874775.7358749
"89",91,22697475.2907892,526434647.660236,101938536.937909
"90",92,25167684.7410116,641185260.249261,118323268.466993
"91",93,27677630.700152,756543674.766916,134759642.1261
"92",94,30338206.0945445,905769477.791906,154215133.404185
"93",95,32942132.5468661,1052549999.97394,173163621.918563
"94",96,35567612.7141483,1222833887.32986,193799154.977682
"95",97,38218029.6844908,1386764711.42517,213885553.925479
"96",98,41417560.253322,1615899758.26452,240117145.481092
"97",99,45149767.7798998,1900743890.63763,271799998.290879
"98",100,48937116.5333359,2212153963.41047,305140287.074364
"99",101,53183158.3853601,2600775283.6919,344665256.356995
"100",102,57559407.2648119,3046398557.03409,387651767.491292
"101",103,61471544.7243063,3454907144.23401,426431819.722032
"102",104,65325886.3729945,3889848606.78278,466135814.838304
"103",105,69849317.5118403,4388910770.11923,511960915.276817
"104",106,76213129.8832914,5173840987.48061,580161571.075092
"105",107,83011898.8583241,6101735826.9624,657122330.881282
"106",108,90178867.3225743,7159132884.78843,741363214.307209
"107",109,96535426.3064027,8187327424.19394,819400274.930089
"108",110,102443769.258113,9157676319.08809,892390596.540482
