"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","1960",8.515,
"AUS","ELDLYPOP","TOT","PC_POP","A","1961",8.513,
"AUS","ELDLYPOP","TOT","PC_POP","A","1962",8.538,
"AUS","ELDLYPOP","TOT","PC_POP","A","1963",8.554,
"AUS","ELDLYPOP","TOT","PC_POP","A","1964",8.525,
"AUS","ELDLYPOP","TOT","PC_POP","A","1965",8.52,
"AUS","ELDLYPOP","TOT","PC_POP","A","1966",8.503,
"AUS","ELDLYPOP","TOT","PC_POP","A","1967",8.472,
"AUS","ELDLYPOP","TOT","PC_POP","A","1968",8.444,
"AUS","ELDLYPOP","TOT","PC_POP","A","1969",8.372,
"AUS","ELDLYPOP","TOT","PC_POP","A","1970",8.345,
"AUS","ELDLYPOP","TOT","PC_POP","A","1971",8.344,
"AUS","ELDLYPOP","TOT","PC_POP","A","1972",8.406,
"AUS","ELDLYPOP","TOT","PC_POP","A","1973",8.506,
"AUS","ELDLYPOP","TOT","PC_POP","A","1974",8.607,
"AUS","ELDLYPOP","TOT","PC_POP","A","1975",8.721,
"AUS","ELDLYPOP","TOT","PC_POP","A","1976",8.928,
"AUS","ELDLYPOP","TOT","PC_POP","A","1977",9.072,
"AUS","ELDLYPOP","TOT","PC_POP","A","1978",9.24,
"AUS","ELDLYPOP","TOT","PC_POP","A","1979",9.436,
"AUS","ELDLYPOP","TOT","PC_POP","A","1980",9.617,
"AUS","ELDLYPOP","TOT","PC_POP","A","1981",9.75,
"AUS","ELDLYPOP","TOT","PC_POP","A","1982",9.871,
"AUS","ELDLYPOP","TOT","PC_POP","A","1983",9.977,
"AUS","ELDLYPOP","TOT","PC_POP","A","1984",10.102,
"AUS","ELDLYPOP","TOT","PC_POP","A","1985",10.267,
"AUS","ELDLYPOP","TOT","PC_POP","A","1986",10.501,
"AUS","ELDLYPOP","TOT","PC_POP","A","1987",10.694,
"AUS","ELDLYPOP","TOT","PC_POP","A","1988",10.836,
"AUS","ELDLYPOP","TOT","PC_POP","A","1989",10.982,
