Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5772.321848,6924.557626,8559.981435,10108.8346,10975.47534,12046.33341,12516.5662,13217.39503,14376.01767,14473.86159,14558.79692,15634.62542,16895.19608,16912.13995,18248.93639,17924.2653,16895.47684,18138.61076,19499.83139,16212.33116,20578.95344,19435.82538,23244.15421,21303.9638,19759.03205,19981.54334,21057.67212,21905.65081,22913.27122,23917.79671,24086.2794,24399.69325,,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,149.6887975,152.6599507,129.9652075,137.1740368,165.9217809,177.1392302,187.1748881,212.3814822,234.4857713,259.8702616,255.7959409,248.9353126,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.267198,479.1125179,519.4232608,559.8304583,553.5421738,532.280218,504.603289,478.1921136,488.0759861,458.3707378,,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,426.5036819,440.8420933,364.9316022,329.99457,534.9158284,447.5851197,565.0058984,8.406950892,30.29559334,-26.32445367,105.3514138,95.08203447,150.6478827,172.8696509,55.55169733,11.12827859,98.11923834,342.4637533,437.0135285,440.968439,564.1634783,857.1232299,819.674137,367.1488349,735.0052177,1108.073495,1500.174725,1773.970533,2043.224671,2397.761383,2078.300917,1694.117828,1756.098041,1028.564719,,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,474.1918498,471.8565193,561.8630352,527.183991,512.3447283,538.2954468,484.1590553,256.7257645,142.7366785,323.3980633,514.9311745,674.3663142,919.8603017,647.8258291,753.2131094,952.7733658,1040.517279,1191.775152,1305.447511,1688.841971,2145.128514,2400.211264,2680.164659,3128.041944,3720.058947,3407.816825,3407.209071,3666.629818,3455.042482,3673.64152,3774.663967,3234.697305,3415.934604,3672.836794,4201.077084,,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1347.613376,1475.920995,1493.333828,1391.380425,1357.314305,1313.028057,1274.506573,1281.7831,1250.410591,1236.540637,1650.421693,1597.062713,1722.096817,1689.769672,1657.625128,1744.169288,1859.218083,1942.619432,1898.490046,1963.632927,2086.866087,2068.350713,2063.152832,2223.515919,2515.68848,2910.388829,3393.366625,3947.788431,4781.85145,4221.397188,4794.995845,5389.100161,5892.763208,6013.761022,6040.808271,5404.027126,5225.279194,5152.854166,5416.267637,,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30657.80533,29126.99719,28209.13032,29588.91534,32194.47956,33302.22895,35909.78428,36674.86428,37371.6263,27381.56843,30503.69937,34542.80731,36045.70251,37912.0899,39307.64382,35639.44113,35478.94624,37696.02034,39977.69156,,
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1207.061748,1317.621044,1314.315494,1995.458931,2683.415959,1921.981496,1814.51108,1975.966971,1979.825322,2264.908951,2451.05945,2440.064891,2518.293822,3075.144764,2300.833988,2531.829964,3225.154035,3151.338876,3538.367938,1958.127847,3757.967903,5123.467905,6181.538277,6328.548309,6746.237057,6572.913815,6859.587277,7259.554214,7304.575066,6734.478942,6606.315206,6159.209567,2047.207657,2748.637565,3248.674301,3850.909541,4932.310862,6148.001944,7634.127279,6936.958171,8803.454618,10956.76217,11131.98044,11123.52746,10433.99318,11821.44997,10892.49927,12344.28413,9631.763691,,
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0149285,441.1202137,470.3351715,535.8873847,522.6850036,541.8023411,606.1814508,680.5813428,815.0482417,1061.816754,1475.542759,1960.050793,2887.407373,3742.989236,2724.03046,2917.897805,3138.868524,3278.37915,3509.29072,3581.153371,3175.966901,3084.895327,3400.464274,3533.883531,,
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2693.130672,2845.365693,3267.976334,3970.228345,5359.773675,5818.021482,6219.518636,6354.785294,6756.02623,7458.530697,8207.049499,9727.734446,10271.04222,9377.896513,10068.4595,9122.05304,9056.954372,9252.515248,11447.2706,14142.46404,14129.78624,14614.02964,14439.03096,13921.18061,14378.07392,16043.8765,17314.37324,18604.75083,16982.1765,16353.98061,17053.45338,15432.98904,15966.47072,18701.8125,24129.21392,26330.93655,27633.44259,30910.81851,37434.37457,33071.57992,40009.66904,47825.99289,52858.37555,53239.17306,48104.18296,44138.53671,38730.38596,41849.22499,43345.8711,,
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1762.560168,2036.005522,2500.078485,3335.023702,3961.755732,4503.928695,4861.116327,5805.25222,6962.653497,8321.867942,9183.866109,7873.049438,7903.674828,8045.040731,7576.539685,7745.58322,11022.67277,13796.84188,14886.88846,14802.58343,18412.91977,18912.8793,21002.64122,20254.801,21553.26349,25393.73683,25034.70217,22290.41994,22794.27213,22352.30848,20343.65612,20128.50553,21823.04094,26670.99804,30565.74184,31857.48637,33974.79742,39121.08434,43479.99655,39508.73273,38999.70374,42579.37918,39994.17236,41696.65786,42429.83484,35813.10112,37144.08808,38586.6923,42094.99701,,
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.2788389,406.8699478,361.554368,435.5178299,551.0654449,651.5630829,739.6469408,942.1748399,1356.518229,2043.425851,3145.385075,3310.384229,3836.05157,4641.900336,5146.880472,5696.916953,5987.526544,4423.663424,2996.270251,3168.809157,3298.410735,,
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,172.2727764,178.8370625,173.3964144,188.9644861,165.5103199,188.8360634,185.3491908,165.1184677,152.5110189,152.7934909,147.3076871,151.5525038,134.7106497,114.0707024,106.0517228,101.1592786,79.54502801,95.75832092,83.6130082,88.54529946,97.35955595,86.94579444,72.94940315,48.32623658,65.96644652,85.09389273,102.4003637,91.8018775,104.9935376,117.3496144,146.8309518,153.8649096,175.3578145,180.3641925,191.4151742,216.1011272,196.7377741,207.3032837,205.6004814,,
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2410.191318,2691.090045,3348.836874,4306.107619,5022.495472,5874.76039,6392.809466,7361.852688,8978.928612,10243.13486,10887.99675,8915.091462,7803.28696,7386.130933,7122.159595,7405.354311,10349.30599,12944.76274,14095.62734,14176.1553,17695.26291,18093.55853,20054.32213,19265.77861,21128.18011,24609.41601,23720.53694,21434.12634,21836.05056,21652.86969,19805.46824,19527.99258,21086.2631,25824.78713,29722.84301,30803.56381,32307.85511,36933.72274,40253.60144,36728.19538,36309.07335,38241.78423,36970.20525,38775.64928,39500.84333,33795.34984,34526.60176,36529.15715,38859.97107,,
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,106.3972573,127.930893,154.4049189,166.6792576,196.7748125,195.4062947,205.5042999,246.5653232,306.9687214,352.8062295,316.5450963,296.5944971,244.8403286,222.5089257,217.9873488,274.1158462,308.8182513,313.3485371,275.2964864,348.9442686,343.0000146,270.9390454,355.6070072,233.0666947,304.6939902,316.7018559,298.2612585,315.5450379,462.4390729,431.5779765,438.1629452,485.6052641,602.8377636,680.1767169,704.1214647,726.8605991,816.951898,949.9785886,911.2698579,869.9128507,950.446475,961.4760212,1051.928628,1081.844638,884.5508915,881.3857651,923.1876142,1007.972679,,
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,263.9811714,235.6849504,224.7535429,198.8224561,175.9002449,183.6482649,233.4030735,262.9477352,281.6541227,273.238742,314.0500541,309.1472261,211.30823,214.7733539,164.6930572,199.4630747,214.0132941,196.1895259,219.2198483,,,,,,,,,,,,,,,,,482.6180599,481.7621307,527.7624023,605.1203418,,
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,110.2258688,168.4308393,254.6216411,128.997225,117.6458027,158.8728099,183.1673154,208.4919952,231.140913,205.5569309,193.2266849,202.5359224,230.0389175,219.2771518,239.2440393,254.4416413,268.7195677,287.0176118,275.1208783,276.048448,283.6439681,283.8674855,311.9248418,371.9921571,379.6470466,385.4462226,388.1163736,396.8364319,392.650652,394.4442042,426.3484183,455.9262851,479.1977761,488.8514195,539.881589,622.9445382,690.1348799,769.2428752,844.1624902,870.0763921,965.5534003,1085.051838,1210.473269,1352.694813,1487.303897,1618.959962,,
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1877.240079,1885.410998,1832.467798,1574.673571,1674.856708,1628.871892,1924.233729,2654.786991,2083.477834,2026.713108,1833.045341,953.3681191,1027.805143,1077.648697,997.3893537,2057.379032,1315.2238,1225.555678,1596.752741,1435.060481,1366.346846,1541.619357,1852.251761,2365.014241,2931.549237,3324.342697,3713.186549,4591.599108,5939.962329,5722.572546,5551.926542,6339.827354,6178.990136,6365.810902,6583.431023,5767.008196,6202.056787,6913.486685,8148.288328,,
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,6113.891502,7463.380641,7786.928107,7811.033316,7706.536167,5655.260188,4784.357407,5187.692778,5753.598839,5847.926902,7420.532245,8119.715903,7827.392626,7946.12398,8282.789913,8868.190282,9094.047368,8861.633668,8526.848474,8567.066607,11424.11194,10620.75502,10666.39214,11830.83157,13316.53652,15434.47971,16650.97482,18344.98356,19725.70484,15286.53765,16636.82643,16790.92077,19925.23206,20612.51663,20609.79193,19047.89775,19365.26055,20219.73825,20094.28437,,
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,5458.048843,5599.237857,6211.503201,6683.326193,7734.409372,8680.70246,9066.775552,9840.716819,10116.5071,11020.35505,11005.39369,10636.23192,10757.37175,10299.98793,10582.46711,13133.87139,14935.10133,20316.16399,21582.33467,24123.37664,24870.78984,25081.77689,26433.54113,25978.06291,26001.56522,27751.33587,27937.18937,28694.86969,28294.06457,26118.50309,25824.37798,25501.23098,27292.03471,26718.33861,26132.90804,26376.41748,26074.65956,25767.16925,24321.49534,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9220702,394.9255374,658.4981943,883.2570482,1269.692618,1385.495964,1541.999508,1580.418637,1790.510473,2204.327048,2720.074675,2855.931424,3214.1165,3831.191555,4713.478112,4336.354614,4124.341879,4430.361724,4093.110377,4441.659407,4526.93197,4005.352859,4226.052308,4573.647882,5176.748361,,
