"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,134.928137958356,134.980530569252,134.954175883566
"22",24,145.537611637332,145.873795794826,145.704063205072
"23",25,156.700679248458,157.642049739488,157.164566751361
"24",26,162.906061728063,164.418194606979,163.647956496373
"25",27,171.559328854762,174.031037720474,172.76361094215
"26",28,181.582048273933,186.153935373104,183.784932834089
"27",29,186.577508235773,192.545026916659,189.432605159047
"28",30,264.224136018392,275.374573232579,269.544657521914
"29",31,383.310517818516,407.013774551153,394.558618572233
"30",32,628.167354109338,687.674037203014,656.299194502875
"31",33,861.7930787166,954.339116944399,905.426238046456
"32",34,1106.35353632157,1250.42307469879,1173.91749536101
"33",35,1309.8568332481,1495.8287322068,1396.52117145795
"34",36,1643.64326586998,1916.91113492209,1769.66328541423
"35",37,2197.66232633306,2637.03295703734,2397.75277352065
"36",38,2781.68514893305,3420.7479071354,3070.09187360468
"37",39,3555.62763990221,4487.04711787727,3972.11443670695
"38",40,4523.2285158033,5722.40323011587,5057.1897682591
"39",41,5271.76007455404,6749.88623647861,5925.657372396
"40",42,6202.3943989672,8081.96929912481,7026.98243497495
"41",43,7216.0380926353,9397.1675454292,8170.22104510715
"42",44,8546.64759085116,11113.3409803986,9667.88672827088
"43",45,10116.4611351885,13209.5670550517,11464.3184062174
"44",46,11908.0091435892,15563.977503625,13500.3581816846
"45",47,13898.1453063384,18122.6351893879,15739.7229537276
"46",48,16038.8757449647,20886.5500455352,18151.4101650993
"47",49,18129.8513550242,23965.1204125776,20648.7938046256
"48",50,21543.5472370252,28802.4962927352,24645.5204251251
"49",51,24331.9708002506,32349.0510954199,27745.2068006296
"50",52,32686.9746346941,42867.5671308821,37007.4031002394
"51",53,38364.57484964,50262.2394788581,43408.8667309581
"52",54,43984.2692060422,58005.4485859524,49906.6987873306
"53",55,50219.1893352727,67367.1071683378,57413.5405774839
"54",56,56438.8579275834,76850.6208936763,64910.9741864704
"55",57,63257.1359682037,88021.6203692197,73383.47435314
"56",58,72789.3432979206,103614.618341538,85253.6543880135
"57",59,82521.0676416697,119791.986231463,97387.5828575258
"58",60,93211.9541390748,137480.180783618,110736.643178623
"59",61,102540.070144026,153494.827370222,122522.15182804
"60",62,112170.017552729,173150.089913991,135729.890072488
"61",63,121746.664269853,191681.560307503,148458.148543037
"62",64,133054.851331528,215008.446669282,164005.35897705
"63",65,145953.394920762,241652.270004313,181641.544434197
"64",66,159583.643843778,268825.955645586,199920.378788194
"65",67,173114.96407661,296725.742978186,218367.732295608
"66",68,184862.104170504,319711.455469552,233950.072232417
"67",69,195615.620066905,343480.711435621,249046.102879508
"68",70,208197.103987386,370786.836247467,266520.401399834
"69",71,220827.002183944,398021.169860064,283996.200510353
"70",72,233628.173690187,425042.678936209,301500.47108229
"71",73,246597.136696557,452461.037165404,319214.982840405
"72",74,259429.895241969,477943.49563197,336262.800116289
"73",75,271363.590543654,500780.907142083,351794.589232521
"74",76,282218.526687181,522294.618693088,366087.969996259
"75",77,293723.241012656,545516.10370365,381351.76125464
"76",78,306808.031567761,571506.008657187,398636.325305452
"77",79,319962.863353669,597146.365065583,415847.974827268
"78",80,333859.676163384,623610.620173418,433840.040513014
"79",81,347681.916996187,647548.916309217,450981.560329852
"80",82,363381.90723768,683049.794056331,473124.705548883
"81",83,373772.857960663,702211.432956701,486309.944585076
"82",84,383836.280138121,720786.475795478,499051.881192963
"83",85,394844.350919298,742942.715174089,513623.063287057
"84",86,409522.995881713,774036.620479879,533641.542700683
"85",87,421624.130046672,796904.40522368,549197.93823331
"86",88,431482.843507546,813624.56405854,561168.911226052
"87",89,443905.027308175,835971.306541475,576435.625567038
"88",90,454005.717282843,853414.51923467,588616.902656715
"89",91,465129.696769052,872404.956138792,602003.657014203
"90",92,474628.280563973,890799.893445232,614299.726123962
"91",93,486050.67172344,910834.629791256,628416.713291
"92",94,495859.270307731,927100.87672723,640147.470087914
"93",95,507543.1729225,944439.891597741,653541.372309856
"94",96,516070.671762539,957890.039062596,663552.270459524
"95",97,526769.575923086,973262.8959567,675599.582587968
"96",98,536794.982933957,988390.072105257,687094.028919298
"97",99,545403.828571159,1002571.50668121,697306.70952502
"98",100,552866.432892988,1015874.36278674,706479.09951592
"99",101,560373.580271256,1028868.05472277,715590.823030334
"100",102,568227.128705736,1041825.84736217,724962.695424459
"101",103,573941.059806776,1052202.54708949,732054.679443466
"102",104,579209.226552329,1061494.43859137,738469.344505048
"103",105,585937.862322089,1072605.13181605,746456.347837526
"104",106,595765.226973122,1087083.1405033,757618.23318345
"105",107,602998.116198324,1099584.28590565,766382.456856277
