"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,134.922860466768,134.954735165273,134.938715133953
"22",24,145.504024289969,145.707652014398,145.605079497349
"23",25,156.607597300248,157.174616057151,156.888186479106
"24",26,162.757957494737,163.664098289968,163.205180607281
"25",27,171.32085359194,172.789993001868,172.04292848669
"26",28,181.151392742995,183.833716056508,182.461017047855
"27",29,186.023816706451,189.496260995445,187.712148050035
"28",30,263.194726023895,269.663552799078,266.335886142959
"29",31,381.14644203959,394.811230112649,387.762066686753
"30",32,622.77719733834,656.933194363594,639.277713737407
"31",33,853.458744420645,906.412102478442,878.998910115576
"32",34,1093.52734238003,1175.45177056262,1132.91458810559
"33",35,1293.51330950446,1398.50041282647,1343.81171234905
"34",36,1620.14238367404,1772.56858036162,1692.73804706932
"35",37,2160.85274369755,2402.41798987788,2275.07868436891
"36",38,2729.15746957143,3076.87117270074,2892.71014450946
"37",39,3480.56746013933,3981.98659771869,3715.11577609402
"38",40,4427.38505919593,5069.89086259775,4727.26971985553
"39",41,5155.14370144048,5941.29640943958,5520.79835295041
"40",42,6056.57975750329,7046.84304438321,6515.0718750529
"41",43,7047.61399155107,8193.24748720695,7577.47249865179
"42",44,8348.84882395364,9694.96716442518,8971.19140140851
"43",45,9879.03075799329,11496.9241947324,10626.3721332762
"44",46,11627.4122587347,13538.8799239585,12510.4667580631
"45",47,13573.1615142227,15784.2308216064,14595.3707600089
"46",48,15666.1681389897,18202.4691990655,16838.7021806366
"47",49,17689.6876933063,20710.1416924469,19079.0420377892
"48",50,21006.4772058704,24721.6655278136,22706.8258781238
"49",51,23741.9244831857,27829.1650167316,25610.7110334622
"50",52,31940.4740549133,37113.8640727701,34304.2235755918
"51",53,37492.1740834117,43533.1752138325,40252.9664489511
"52",54,42962.2977152284,50053.0251671559,46198.3009367521
"53",55,48985.3239633461,57592.214940435,52900.0434792069
"54",56,54998.7495515543,65123.0261652854,59580.7588598125
"55",57,61558.5245671424,73639.8051780192,66986.0401844739
"56",58,70721.2352726764,85571.9463445629,77353.1403403324
"57",59,80084.3437860933,97771.1038934165,87929.0670145097
"58",60,90361.6369519744,111191.453812883,99561.4814730753
"59",61,99318.7825543997,123044.444821195,109746.135082611
"60",62,108427.047825476,136352.758545339,120601.792464792
"61",63,117547.671351796,149170.30402906,131253.011935194
"62",64,128245.057429918,164837.670904051,144004.6615985
"63",65,140475.822147229,182610.342449838,158497.716017841
"64",66,153452.568538428,201023.413358669,173690.098087257
"65",67,166295.807049768,219613.084445126,188870.005708865
"66",68,177505.049418105,235306.460967146,201903.984265616
"67",69,187664.325651073,250530.323837437,214096.324910065
"68",70,199579.246459614,268149.037910977,228295.535890483
"69",71,211546.960295144,285767.777843887,242529.363203222
"70",72,223705.872584556,303410.94998045,256886.251278222
"71",73,236032.033531514,321266.335789813,271418.612532071
"72",74,248285.353511908,338438.009250588,285650.721005779
"73",75,259727.432994381,354076.079903727,298774.897491098
"74",76,270121.330230585,368472.488732881,310755.8384842
"75",77,281125.696105008,383849.387193432,323487.284628801
"76",78,293643.762256828,401259.126022669,337952.332937139
"77",79,306250.801156001,418591.727904877,352440.533368647
"78",80,319593.905050586,436705.679218477,367684.466412508
"79",81,332961.718418011,453945.307999178,382605.084200355
"80",82,347810.049000351,476281.956083853,400404.543941084
"81",83,357829.729867723,489551.496234508,411705.663426221
"82",84,367540.342869221,502374.762574554,422637.21923059
"83",85,378075.752049105,517053.326980822,434805.861450134
"84",86,392040.500097358,537231.428880107,451232.71159662
"85",87,403678.622007342,552891.453969921,464464.167666908
"86",88,413258.864227734,564926.977279415,475005.802093014
"87",89,425291.238939859,580277.777388418,488368.98896899
"88",90,435121.1337309,592522.956921771,499138.99589909
"89",91,445942.978060181,605978.048923604,511000.585585535
"90",92,455070.801831134,618358.963638329,521408.084410581
"91",93,466137.556196645,632557.88005428,533704.230244538
"92",94,475701.017568392,644348.778779156,544123.716249431
"93",95,487164.670725917,657795.730939667,556354.435432942
"94",96,495501.536240564,667852.798082446,565355.650844408
"95",97,506035.016885609,679943.333169754,576475.028649329
"96",98,515879.126356451,691484.803562445,586959.890782676
"97",99,524290.630336583,701748.868145934,596069.43867608
"98",100,531539.927682013,710975.48520158,604069.730415702
"99",101,538847.853812196,720138.218332204,612080.072281848
"100",102,546510.41673039,729557.886663154,620413.650289355
"101",103,552053.506975714,736693.556231483,626560.116177795
"102",104,557183.248701673,743145.299351438,632182.850385518
"103",105,563759.096439428,751172.829705574,639301.92090349
"104",106,573424.097138623,762377.645842597,649543.684523802
"105",107,580469.373317259,771190.844890535,657254.17463646
