"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,146,146,146
"23",25,158,158,158
"24",26,165,165,165
"25",27,175,175,175
"26",28,188,188,188
"27",29,195,195,195
"28",30,280,280,280
"29",31,417,417,417
"30",32,713,713,713
"31",33,995.149026454576,997.104213445022,996.138212529225
"32",34,1318.17503388005,1327.06152153607,1322.65823783673
"33",35,1589.48464325129,1609.42654498456,1599.51034523674
"34",36,2070.99366387911,2124.13649710852,2097.54230666892
"35",37,2920.71832072415,3062.02308356573,2990.73736953737
"36",38,3881.68304188418,4170.28606153285,4023.52003820513
"37",39,5234.09934748269,5794.82134106375,5506.86604051859
"38",40,6802.39079843183,7771.627740449,7268.7203800239
"39",41,8183.92401845482,9602.3901607399,8859.41099528836
"40",42,10093.7930229446,12346.2098910984,11149.9550102758
"41",43,11914.6951813504,15018.1885694001,13350.8420047088
"42",44,14337.8447979893,18785.3324747925,16359.4650599562
"43",45,17346.8770063843,23609.8849993636,20138.1900657381
"44",46,20986.1394373196,30363.9760572918,25059.1716871761
"45",47,25054.7657551588,38646.0936738986,30805.9744192068
"46",48,29723.7552544445,49307.9440263348,37783.7901014177
"47",49,34353.4279670679,57883.4920889419,43886.3580389052
"48",50,42791.1620053766,78763.523786541,56806.7578065326
"49",51,50141.1361977827,102828.076550653,69963.9387962424
"50",52,65694.5045899667,138562.645524253,92327.3669560213
"51",53,79627.2279396406,185790.278673174,117039.19595166
"52",54,95012.1753256151,242845.038999702,145449.43139581
"53",55,112891.410191424,307047.273638179,177342.799795849
"54",56,132712.906468298,388806.414969907,215266.812871013
"55",57,158025.970136528,504426.728524238,266110.302037624
"56",58,193312.080107623,678901.987859782,339249.658751654
"57",59,233772.472662635,907738.668654312,429227.888805595
"58",60,279527.692714425,1202558.43524312,537613.826630965
"59",61,323037.556735814,1504718.03369628,643996.568779262
"60",62,374847.381442929,1827143.78513832,760870.479240887
"61",63,429398.803749504,2242436.45389974,898317.855404938
"62",64,497276.561550024,2752973.63330072,1065860.49038436
"63",65,582193.74566911,3476747.20077043,1289846.682934
"64",66,672482.360013685,4310142.7095291,1537428.90170699
"65",67,770475.68826963,5317250.0065653,1820234.78782387
"66",68,857050.865112635,6346063.48794464,2089795.2960001
"67",69,948333.447211053,7362437.6144968,2361337.42010968
"68",70,1055711.83056616,8616026.01949367,2686881.80800164
"69",71,1175900.81949513,10317163.3854647,3091462.74337689
"70",72,1303670.73453818,12321645.6593047,3545926.83034464
"71",73,1439914.41160052,14670176.6258334,4052619.61424512
"72",74,1575481.29148423,17488171.1713666,4608256.78036322
"73",75,1705779.93842601,20523988.4714853,5175666.31777972
"74",76,1834006.49703728,23605787.7985619,5739186.30600583
"75",77,1975538.41837866,26942246.5640665,6353480.45495504
"76",78,2148210.42530055,31803128.8855421,7176173.33036682
"77",79,2331640.35769591,37910355.8529164,8127627.95263983
"78",80,2523702.78056223,44789525.4135731,9155766.36781299
"79",81,2718231.61421979,53897974.1628404,10360760.2163068
"80",82,2993506.34704002,64296251.742292,11845259.6439306
"81",83,3167860.2144562,73396069.3777794,12978470.8397187
"82",84,3345192.69798016,83574381.1381268,14181754.8085352
"83",85,3564239.78304421,95512809.7622189,15628594.5965329
"84",86,3887367.78005393,115119244.362419,17867248.9592853
"85",87,4159317.59891586,136190112.578165,20033350.2870441
"86",88,4381233.62399962,159264837.014821,22101105.6171517
"87",89,4666038.4719606,185230287.381975,24538393.8388743
"88",90,4905682.27344355,208922219.932659,26684321.1279825
"89",91,5184738.3123062,241595588.174277,29402926.5762274
"90",92,5499707.45164584,287798105.503432,32871506.4893652
"91",93,5827161.44640983,334075294.357645,36381951.7162394
"92",94,6130141.24491905,391706343.930165,40184029.20724
"93",95,6431712.2850709,447995652.032437,43896421.181219
"94",96,6706522.89261642,511570815.323022,47699991.1156162
"95",97,7000198.06689774,572857953.066448,51506678.1716058
"96",98,7324084.34600438,656002143.391868,56170850.1139987
"97",99,7679793.67997262,757928145.35278,61645969.1391121
"98",100,8029006.86150447,867412105.083675,67238694.0638351
"99",101,8395551.76227542,1001025813.46546,73581468.6111061
"100",102,8755656.11583666,1150666203.87247,80184087.1938244
"101",103,9072882.83180437,1286589783.37527,86092000.7094012
"102",104,9372574.13891999,1428595518.10947,91948660.9138142
"103",105,9728836.23275712,1591540319.65082,98795791.8334179
"104",106,10200500.7558695,1841620370.77778,108533036.682034
"105",107,10671339.6388803,2131323560.46609,119051788.13988
"106",108,11149142.2845702,2455317684.89606,130215046.982767
"107",109,11562648.9813619,2763323108.55386,140183227.100298
"108",110,11936807.1622333,3051974735.06485,149446972.61285
