"","Country","Countrycode","Date.str2","Date","Area","GDP","Le","Pop","Tour.arrive","Maternal.mortalityratio","Democ","National.income","Elderly.pop","Growth.rate","Growth.rate.pre","Growth.rate.post","New.Growth.rate","New.Growth.rate.pre","New.Growth.rate.post","Confirmed.cases","Confirmed.cases.pre","newcase","newcase.pre","newcase.post","is.case.30","Policy","Policy.indicator","Policy.indicator.pre","Policy.indicator.pre2","Rela.Date30","Treatment.within14.prop","Treatment.within14.prop.pre","case.day.bas","school.closure","school.closure.pre","school.closure.pre2","school.closure.bas","workplace.close","workplace.close.pre","workplace.close.pre2","workplace.close.bas","cancel.public.events","cancel.public.events.pre","cancel.public.events.pre2","cancel.public.events.bas","gather.restriction","gather.restriction.pre","gather.restriction.pre2","gather.restriction.bas","transport.close","transport.close.pre","transport.close.pre2","transport.close.bas","inter.move.restriction","inter.move.restriction.pre","inter.move.restriction.pre2","inter.move.restriction.bas","inter.move.travel","inter.move.travel.pre","inter.move.travel.pre2","inter.move.travel.bas","test.policy","test.policy.pre","test.policy.pre2","test.policy.bas","Time_length"
"1","Australia","AUS","2020-01-22",2020-01-22,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,-1,0,NA,30,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,85
"2","Australia","AUS","2020-01-23",2020-01-23,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,-1,0,0,30,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA,1,85
"3","Australia","AUS","2020-01-24",2020-01-24,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"4","Australia","AUS","2020-01-25",2020-01-25,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,1.6094379124341,0,0,1.6094379124341,0,0,0,0,4,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"5","Australia","AUS","2020-01-26",2020-01-26,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,1.6094379124341,0,0.182321556793955,1.6094379124341,0,-0.916290731874155,4,0,4,0,1,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"6","Australia","AUS","2020-01-27",2020-01-27,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.182321556793955,1.6094379124341,0,-0.916290731874155,1.6094379124341,-0.693147180559945,5,4,1,4,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"7","Australia","AUS","2020-01-28",2020-01-28,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.182321556793955,0.154150679827258,-0.693147180559945,-0.916290731874155,0.693147180559945,5,5,0,1,1,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"8","Australia","AUS","2020-01-29",2020-01-29,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.154150679827258,0,0.356674943938733,0.693147180559945,-0.693147180559945,0.693147180559945,6,5,1,0,3,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"9","Australia","AUS","2020-01-30",2020-01-30,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.356674943938733,0.154150679827258,0,0.693147180559945,0.693147180559945,-1.38629436111989,9,6,3,1,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"10","Australia","AUS","2020-01-31",2020-01-31,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.356674943938733,0.262364264467491,-1.38629436111989,0.693147180559945,1.38629436111989,9,9,0,3,3,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,85
"11","Australia","AUS","2020-02-01",2020-02-01,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.262364264467491,0,0,1.38629436111989,-1.38629436111989,-1.38629436111989,12,9,3,0,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,85
"12","Australia","AUS","2020-02-02",2020-02-02,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.262364264467491,0,-1.38629436111989,1.38629436111989,0,12,12,0,3,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,85
"13","Australia","AUS","2020-02-03",2020-02-03,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,0.0741079721537217,0,-1.38629436111989,0.693147180559945,12,12,0,0,1,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"14","Australia","AUS","2020-02-04",2020-02-04,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.0741079721537217,0,0,0.693147180559945,0,-0.693147180559945,13,12,1,0,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"15","Australia","AUS","2020-02-05",2020-02-05,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.0741079721537217,0.0689928714869517,-0.693147180559945,0.693147180559945,0.693147180559945,13,13,0,1,1,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"16","Australia","AUS","2020-02-06",2020-02-06,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.0689928714869517,0,0.0645385211375711,0.693147180559945,-0.693147180559945,0,14,13,1,0,1,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"17","Australia","AUS","2020-02-07",2020-02-07,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0.0645385211375711,0.0689928714869517,0,0,0.693147180559945,-0.693147180559945,15,14,1,1,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"18","Australia","AUS","2020-02-08",2020-02-08,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0.0645385211375711,0,-0.693147180559945,0,0,15,15,0,1,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
"19","Australia","AUS","2020-02-09",2020-02-09,7741220,1.4339e+12,82.74878049,24982688,9246000,6,0.838,41849.22499,15.663,0,0,0,0,-0.693147180559945,0,15,15,0,0,0,0,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
