"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,145.822138311182,145.879536919892,145.850689280569
"23",25,157.249406783873,157.489595779489,157.368638839943
"24",26,163.597165486863,164.042055967439,163.817542550817
"25",27,172.393800309463,173.207898137622,172.795630001396
"26",28,182.541496939787,184.206697005978,183.358897711211
"27",29,187.512297441784,189.761520556959,188.612479813071
"28",30,264.949345168779,269.438327923898,267.142277718694
"29",31,383.066878164573,393.054678452296,387.932975979884
"30",32,624.687244522466,650.425641323378,637.200304290373
"31",33,853.240731737803,893.924442748921,872.981693662754
"32",34,1086.81044497887,1151.21269133641,1117.95276536912
"33",35,1281.08490372357,1364.24184691603,1321.15948753421
"34",36,1593.58033643321,1715.49327663998,1651.99267184232
"35",37,2105.97747296165,2300.23944904975,2198.39716541137
"36",38,2639.09540700388,2918.90833972326,2771.51150896731
"37",39,3338.59843041229,3740.89452123236,3527.89769405397
"38",40,4242.80578651711,4756.51348519902,4484.01492826944
"39",41,4927.64352335032,5552.64693451114,5220.16795190065
"40",42,5759.50644406741,6542.11280462032,6124.18134474471
"41",43,6708.14770619942,7610.20040221643,7128.15430032912
"42",44,7958.53035130884,9014.89459990121,8450.318104582
"43",45,9428.6360671436,10692.560281996,10016.8726651609
"44",46,11101.890794011,12594.7165346069,11797.0050712803
"45",47,12956.7084506868,14691.0111700032,13765.0494379952
"46",48,14947.2194104267,16946.0290034841,15879.6134820519
"47",49,16882.7315219771,19249.8544100003,17983.5717063309
"48",50,20020.0508435465,22922.9730248715,21365.7480768832
"49",51,22614.1766774607,25816.6361488929,24098.685397276
"50",52,30449.1705222542,34519.8280267867,32337.2912560265
"51",53,35646.8292777089,40425.4097856011,37865.1151270639
"52",54,40703.435409726,46317.6326639307,43307.0321988011
"53",55,46079.033482528,52872.7716124577,49218.4319621458
"54",56,51472.1711076608,59406.8325972861,55122.8705906911
"55",57,57237.4406356326,66587.927354696,61511.7380327576
"56",58,65194.6570646718,76563.3128919931,70360.3275333952
"57",59,73376.7932777766,86746.0163164818,79415.2241607992
"58",60,82251.8206758237,97852.0587871163,89266.3290341044
"59",61,89997.5185715443,107581.0146186,97867.7194432112
"60",62,97357.3161240643,117663.083281639,106374.699374012
"61",63,104979.462923834,127668.609710505,115000.683656702
"62",64,113585.670476,139419.60493893,124920.866368677
"63",65,123582.741839025,152837.235091746,136332.353673844
"64",66,134336.243491197,166923.918935949,148461.71964795
"65",67,144829.257040046,180907.771894159,160390.471820061
"66",68,154165.043027245,192973.285770316,170851.278058953
"67",69,162259.407026501,204034.143575692,180148.099598842
"68",70,171849.122512885,216922.123634231,191069.009440584
"69",71,181506.373252766,229881.542911655,202064.394930417
"70",72,191452.364246244,243056.6872496,213321.025462386
"71",73,201564.118577079,256370.244269907,224725.470428821
"72",74,211781.715051773,269480.780380437,236120.259944442
"73",75,221528.386611588,281708.1463725,246877.053730484
"74",76,230327.796502335,292801.900608977,256601.058599649
"75",77,239624.92858658,304582.679852379,266893.157816302
"76",78,250184.116585265,317964.260773825,278590.579390364
"77",79,260908.409606442,331421.647569371,290419.547022057
"78",80,272328.572830657,345600.630686002,302955.068129335
"79",81,284103.342606389,359655.269163603,315660.806282284
"80",82,295995.868511152,375598.136340208,329150.549405442
"81",83,304752.011841539,386197.529838961,338647.477876232
"82",84,313262.760012617,396447.616340609,347853.876673873
"83",85,322186.578618578,407705.693168105,357710.102128944
"84",86,333659.10949427,422651.711770887,370568.486787641
"85",87,343709.003488664,435016.227506223,381552.083756402
"86",88,352382.521214009,445112.554055436,390803.120391092
"87",89,363012.478474655,457699.732294137,402231.151308927
"88",90,371970.305014227,468024.172610286,411735.651076758
"89",91,381760.721787089,479336.112790189,422141.455147809
"90",92,389653.714881095,489095.096095968,430785.770678285
"91",93,399522.343114833,500746.254886777,441369.387053497
"92",94,408339.385288484,510810.364254676,450684.481995089
"93",95,419119.371909841,522705.579154662,461909.93599823
"94",96,426869.916755315,531427.506087841,470049.642882447
"95",97,436924.273100635,542315.846683901,480430.034912593
"96",98,446245.632616303,552550.10251878,490108.931111662
"97",99,454087.224459557,561387.852987404,498340.488454114
"98",100,460697.581411733,569072.003368682,505372.732474715
"99",101,467420.805245405,576800.221099225,512490.502622086
"100",102,474515.599915944,584851.561296337,519961.756551661
"101",103,479569.17206217,590762.650861707,525349.986522767
"102",104,484307.872912157,596192.179613152,530355.137779923
"103",105,490450.126943651,603097.233100954,536792.015327559
"104",106,499658.93705605,613120.213822,546316.364936347
"105",107,506167.945689857,620569.385462995,553190.20344129
"106",108,513224.146511489,628490.59553464,560582.248637091
