"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,146,146,146
"23",25,158,158,158
"24",26,165,165,165
"25",27,175,175,175
"26",28,188,188,188
"27",29,195,195,195
"28",30,280,280,280
"29",31,417,417,417
"30",32,713,713,713
"31",33,994,994,994
"32",34,1316.39488250962,1318.03376696952,1317.22446811258
"33",35,1589.41164864369,1594.98397308249,1592.22712133795
"34",36,2080.85565185393,2100.72722828733,2090.86219403687
"35",37,2965.27744402664,3027.94304747965,2996.692362786
"36",38,3993.83341871378,4134.6302113776,4064.07756514632
"37",39,5483.91664010789,5780.12969232335,5630.78511036315
"38",40,7273.05803432636,7818.72969773352,7541.76746893309
"39",41,8909.10941583235,9747.23890503088,9319.12329334363
"40",42,11307.6884185581,12724.3789585033,11993.8203481611
"41",43,13639.6384093077,15686.201595777,14622.244391052
"42",44,16883.9198667735,19993.7398107819,18359.3291140068
"43",45,21014.9359200908,25663.8767960657,23191.6366510284
"44",46,26593.1222147283,34080.6553415914,30039.1935375283
"45",47,33294.588992055,44923.8208201378,38555.2208424785
"46",48,41787.8577738746,59896.5858452557,49824.7739849357
"47",49,48976.3517598963,71747.1318511004,58967.6769027204
"48",50,65541.6692804736,104381.047618516,82113.1000001793
"49",51,83888.7849621898,146299.044189334,109886.930631789
"50",52,112704.722003859,205780.13113811,150695.736014062
"51",53,148581.112617682,297000.129789917,207673.463752321
"52",54,191409.102547087,414812.916736526,278409.855564142
"53",55,239713.083912057,552955.961355065,359360.701815864
"54",56,300125.130629541,742970.832911993,465730.065288532
"55",57,384412.547783941,1030619.16196526,620377.293537895
"56",58,510260.453593102,1495521.35553412,860525.360698105
"57",59,672821.019676212,2151123.43636214,1185182.95340803
"58",60,879310.440917497,3065396.7013561,1618048.40478826
"59",61,1088966.13944642,4063608.57345501,2073536.76146935
"60",62,1313248.73563415,5153710.73683799,2561760.38402656
"61",63,1596919.015721,6686873.00432961,3215976.48909127
"62",64,1944425.19516251,8658207.75817054,4033439.33841235
"63",65,2431214.45960266,11651168.4573037,5226990.08643367
"64",66,2987255.86762394,15308692.6870161,6636015.31525889
"65",67,3651100.05384557,20055224.0086092,8391282.67910716
"66",68,4320870.68959059,25298454.4022098,10248333.2184311
"67",69,4983063.20899467,30605911.98557,12092358.1463642
"68",70,5796057.91092675,37518887.9295287,14418897.285492
"69",71,6880509.2104682,47743526.1843702,17700910.1921959
"70",72,8147723.870292,60550953.3265578,21671425.5965312
"71",73,9619187.77437592,76610668.3317336,26462666.6439695
"72",74,11356714.5980595,97772042.6560843,32464667.4223765
"73",75,13211338.9621733,122119662.327646,39119513.8661524
"74",76,15085876.1991512,148124140.626603,46013116.0333698
"75",77,17120709.145082,177026554.358796,53540281.821098
"76",78,20035586.3633671,222960789.555591,64940334.2614407
"77",79,23639129.356485,286047683.944774,79847687.282179
"78",80,27670258.8936711,361759611.708179,97105323.5140829
"79",81,32895682.2805775,473774532.327544,121189173.679891
"80",82,38908650.4741736,601739101.997642,148417073.093527
"81",83,44065465.3297105,726449001.342933,173557731.350655
"82",84,49779102.5113394,876245886.403953,202567188.179594
"83",85,56502769.9361295,1053939048.58266,236571763.931159
"84",86,67388139.1696652,1369929256.16865,294312704.460113
"85",87,78889456.4171876,1741601458.13302,359102746.409361
"86",88,91188200.6629165,2201472783.18248,434334460.54453
"87",89,105101488.106744,2725255013.22893,518832939.962813
"88",90,117777180.248983,3229511065.60568,597859137.904591
"89",91,134953643.257219,3992214716.85208,711411235.598312
"90",92,158685369.377507,5176642455.24245,878744854.316567
"91",93,182486006.179163,6395405813.18083,1047656657.02383
"92",94,211413724.270414,8113940406.59942,1270944355.28717
"93",95,239648386.261269,9856821277.3407,1491942654.78049
"94",96,270950386.580956,12017504797.3332,1752362992.33256
"95",97,301269499.298754,14133572042.7779,2003557115.70158
"96",98,341655366.954676,17311043080.552,2360837569.36983
"97",99,390869326.941964,21416842519.6509,2808948374.40406
"98",100,443205545.295771,26134629672.5211,3304466516.57256
"99",101,506101205.191353,32383197195.8061,3931170572.76562
"100",102,575519706.74163,40006568137.9984,4660332542.17536
"101",103,638404319.779837,47230501550.5194,5333366496.6456
"102",104,703522421.175446,55326028147.4545,6058601287.40882
"103",105,778511806.767371,64751543992.5854,6892375882.48741
"104",106,891844265.754568,80581479865.8657,8223987628.53203
"105",107,1021530292.53098,100303906839.32,9818344764.37136
"106",108,1165108558.12878,124011563061.992,11657885304.1581
"107",109,1299964765.76967,148490066378.616,13472439373.8622
"108",110,1426557407.01696,172208408419.35,15195188886.2462
"109",111,1580413942.18821,201087582019.195,17272057827.5853
