"","country.name","policy.start.date","policy.end.date","policy.time","case.30.date","case.end.ob.date"
"1","Australia","2020-03-24","2020-05-28",66,"2020-03-02",1583078445
"2","Austria","2020-03-16","2020-04-30",46,"2020-03-05",1583337645
"3","Belgium","2020-03-18","2020-06-07",82,"2020-03-05",1583337645
"4","Canada","2020-03-14","2020-06-30",109,"2020-03-03",1583164845
"5","Chile","2020-03-25","2020-06-30",98,"2020-03-11",1583856045
"6","Colombia","2020-03-25","2020-06-30",98,"2020-03-15",1584201645
"7","Czech Republic","2020-03-15","2020-05-31",78,"2020-03-08",1583596845
"8","Denmark","2020-03-03","2020-06-30",120,"2020-03-08",1583596845
"9","Estonia","2020-03-29","2020-05-17",50,"2020-03-13",1584028845
"10","Finland","2020-03-16","2020-05-31",77,"2020-03-09",1583683245
"11","France","2020-03-17","2020-06-30",106,"2020-02-27",1582732845
"12","Germany","2020-03-09","2020-05-05",58,"2020-02-27",1582732845
"13","Greece","2020-03-23","2020-06-30",100,"2020-03-05",1583337645
"14","Hungary","2020-03-12","2020-06-30",111,"2020-03-14",1584115245
"15","Iceland",NA,NA,NA,"2020-03-05",1583337645
"16","Ireland","2020-03-26","2020-06-25",92,"2020-03-10",1583769645
"17","Israel","2020-03-17","2020-06-30",106,"2020-03-06",1583424045
"18","Italy","2020-02-23","2020-06-30",129,"2020-02-22",1582300845
"19","Japan","2020-04-07","2020-05-24",48,"2020-02-13",1581523245
"20","Korea, Rep.","2020-02-23","2020-06-30",129,"2020-02-17",1581868845
"21","Latvia","2020-03-13","2020-06-30",110,"2020-03-15",1584201645
"22","Lithuania","2020-03-16","2020-06-16",93,"2020-03-19",1584547245
"23","Luxembourg","2020-03-17","2020-06-30",106,"2020-03-13",1584028845
"24","Mexico","2020-03-30","2020-06-30",93,"2020-03-14",1584115245
"25","Netherlands","2020-03-06","2020-06-30",117,"2020-03-04",1583251245
"26","New Zealand","2020-03-21","2020-05-13",54,"2020-03-20",1584633645
"27","Norway",NA,NA,NA,"2020-03-03",1583164845
"28","Poland","2020-03-31","2020-05-29",60,"2020-03-11",1583856045
"29","Portugal","2020-03-19","2020-06-30",104,"2020-03-08",1583596845
"30","Slovak Republic","2020-03-12","2020-06-13",94,"2020-03-13",1584028845
"31","Slovenia","2020-03-14","2020-05-13",61,"2020-03-10",1583769645
"32","Spain","2020-03-14","2020-06-20",99,"2020-02-28",1582819245
"33","Sweden",NA,NA,NA,"2020-03-04",1583251245
"34","Switzerland","2020-03-17","2020-06-21",97,"2020-03-02",1583078445
"35","Turkey","2020-03-09","2020-06-30",114,"2020-03-17",1584374445
"36","United Kingdom","2020-03-13","2020-06-30",110,"2020-02-24",1582473645
