"","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500","abb","days","state","Province.State"
"1","State",2020-01-22,1,"AL",NA,"",807735,4080136,16164304,3480408,3874504,2156843,2708360,2596986,902492,309079,107087,23934,4611,"AL",0,"Alabama","Alabama"
"2","State",2020-01-22,2,"AK",NA,"",159711,577727,2949908,874686,800754,403581,411898,308836,111693,25079,8213,1378,3790,"AK",0,"Alaska","Alaska"
"3","State",2020-01-22,4,"AZ",NA,"",1352937,5818709,25236411,6687167,6068252,3031583,3790445,3989392,1171535,305405,147048,27142,18442,"AZ",0,"Arizona","Arizona"
"4","State",2020-01-22,5,"AR",NA,"",544871,2468954,9272794,2130987,2415655,1184837,1429620,1343605,490685,181059,75534,17561,3251,"AR",0,"Arkansas","Arkansas"
"5","State",2020-01-22,6,"CA",NA,"",7227607,32329438,145519407,40323676,36885229,16871766,20809450,20492587,7281951,2148748,533057,114312,58631,"CA",0,"California","California"
"6","State",2020-01-22,8,"CO",NA,"",1142692,4552872,25056942,6408681,6346195,3041365,3864849,3838258,1046085,352056,106885,27496,25072,"CO",0,"Colorado","Colorado"
"7","State",2020-01-22,9,"CT",NA,"",693835,2878830,13509237,3179023,3491559,1672063,2023705,2141905,758141,193956,32841,5537,10507,"CT",0,"Connecticut","Connecticut"
"8","State",2020-01-22,10,"DE",NA,"",188655,778516,3709176,881793,889885,469350,611443,573162,213059,57480,11697,786,521,"DE",0,"Delaware","Delaware"
"9","State",2020-01-22,11,"DC",NA,"",202257,500198,3263120,1174903,808692,477764,477199,255499,53420,8485,3252,1400,2506,"DC",0,"District of Columbia","District of Columbia"
"10","State",2020-01-22,12,"FL",NA,"",3622905,17676420,74765715,18883422,18749305,9639075,12054993,10965910,3181808,846602,319956,70267,54377,"FL",0,"Florida","Florida"
"11","State",2020-01-22,13,"GA",NA,"",1898568,8620907,37980556,8710635,9079269,4665782,6078159,6114021,2317647,626956,286276,75722,26089,"GA",0,"Georgia","Georgia"
"12","State",2020-01-22,15,"HI",NA,"",255003,1165488,5299994,1626270,1408321,608131,741421,804609,86714,16558,4767,1390,1813,"HI",0,"Hawaii","Hawaii"
"13","State",2020-01-22,16,"ID",NA,"",335673,1418535,6266268,1618550,1737683,785959,909332,783054,275829,100415,44146,7718,3582,"ID",0,"Idaho","Idaho"
"14","State",2020-01-22,17,"IL",NA,"",2557808,10183272,50223171,13344215,12347858,5910053,7474388,7533864,2669456,586742,261126,64035,31434,"IL",0,"Illinois","Illinois"
"15","State",2020-01-22,18,"IN",NA,"",1266750,5425128,26039638,6431044,6448982,3223533,3974091,3989064,1372609,406850,147793,32062,13610,"IN",0,"Indiana","Indiana"
"16","State",2020-01-22,19,"IA",NA,"",652932,2503213,11013995,2808414,2994204,1278053,1517652,1489924,589465,214484,97896,17430,6473,"IA",0,"Iowa","Iowa"
"17","State",2020-01-22,20,"KS",NA,"",603162,2308343,10155057,2629435,2769806,1211011,1407389,1360310,485026,170689,91249,21174,8968,"KS",0,"Kansas","Kansas"
"18","State",2020-01-22,21,"KY",NA,"",853688,3614714,18183230,4235020,4537609,2361151,2872504,2757097,953587,311345,127786,20236,6895,"KY",0,"Kentucky","Kentucky"
"19","State",2020-01-22,22,"LA",NA,"",820028,3839950,17578189,4391553,4333737,2230169,2860569,2401622,868120,348241,117626,19487,7065,"LA",0,"Louisiana","Louisiana"
"20","State",2020-01-22,23,"ME",NA,"",285104,1053300,4796151,1031333,1173448,582741,726126,830927,328365,95055,23014,2872,2270,"ME",0,"Maine","Maine"
"21","State",2020-01-22,24,"MD",NA,"",1110295,4932423,23230913,5755023,5311838,2684289,3683242,4047292,1369718,279289,73370,14264,12588,"MD",0,"Maryland","Maryland"
"22","State",2020-01-22,25,"MA",NA,"",1458210,5443939,31511894,8169087,8102769,3837693,4666336,4801977,1571829,292096,43282,8312,18513,"MA",0,"Massachusetts","Massachusetts"
"23","State",2020-01-22,26,"MI",NA,"",1896049,8099866,37840555,9307387,9062226,4522030,5975979,6118152,2081280,551455,165679,39711,16656,"MI",0,"Michigan","Michigan"
"24","State",2020-01-22,27,"MN",NA,"",1054482,4556697,19550660,4777492,4635822,2193921,2852770,3398447,1156028,353865,140033,24429,17853,"MN",0,"Minnesota","Minnesota"
"25","State",2020-01-22,28,"MS",NA,"",488475,2498055,9665492,2245533,2398337,1127626,1493858,1482840,580375,221692,92826,18964,3441,"MS",0,"Mississippi","Mississippi"
"26","State",2020-01-22,29,"MO",NA,"",1243578,4882874,20675770,5002553,5175755,2427775,3140114,3270792,1150340,303067,158242,34383,12749,"MO",0,"Missouri","Missouri"
"27","State",2020-01-22,30,"MT",NA,"",240113,822192,3715578,1031476,1090010,448344,468271,378686,168471,86128,35237,5558,3397,"MT",0,"Montana","Montana"
"28","State",2020-01-22,31,"NE",NA,"",410926,1518342,6511734,1697090,1765130,833670,975716,793403,258275,117275,55659,11170,4346,"NE",0,"Nebraska","Nebraska"
"29","State",2020-01-22,32,"NV",NA,"",603936,2430456,11094147,3037085,2711971,1400977,1875715,1609603,267044,110208,61319,13684,6541,"NV",0,"Nevada","Nevada"
"30","State",2020-01-22,33,"NH",NA,"",254156,1102302,5600613,1207904,1293200,643554,840276,1033950,460003,106338,12763,1189,1436,"NH",0,"New Hampshire","New Hampshire"
"31","State",2020-01-22,34,"NJ",NA,"",1798842,7109678,36713292,9998785,9013845,4280916,5369047,5487826,1928389,487031,109368,21467,16618,"NJ",0,"New Jersey","New Jersey"
"32","State",2020-01-22,35,"NM",NA,"",394587,1700841,9270176,2379287,2528558,1224578,1417520,1014590,406749,207323,70676,17222,3673,"NM",0,"New Mexico","New Mexico"
"33","State",2020-01-22,36,"NY",NA,"",4751706,14790503,85787671,24292895,20819315,10490506,13439792,12283567,3324261,845146,208843,37988,45358,"NY",0,"New York","New York"
"34","State",2020-01-22,37,"NC",NA,"",1853446,8530174,39155121,8522214,9552749,5034107,6513818,6494228,2145750,608353,222926,44510,16466,"NC",0,"North Carolina","North Carolina"
"35","State",2020-01-22,38,"ND",NA,"",152502,607575,2635415,712525,766480,348753,328757,235695,122339,80214,33420,5410,1822,"ND",0,"North Dakota","North Dakota"
"36","State",2020-01-22,39,"OH",NA,"",2227468,9461974,44388711,10924078,10685399,5280793,7050839,7425827,2169202,605567,190609,40173,16224,"OH",0,"Ohio","Ohio"
"37","State",2020-01-22,40,"OK",NA,"",766892,3176187,13163127,3222829,3360076,1586343,1989887,2042763,634975,220353,86362,14491,5048,"OK",0,"Oklahoma","Oklahoma"
"38","State",2020-01-22,41,"OR",NA,"",875227,3315486,16371318,4560223,4472333,2048568,2235461,2161129,614569,202330,54375,10998,11332,"OR",0,"Oregon","Oregon"
"39","State",2020-01-22,42,"PA",NA,"",2592484,10214576,47669234,12344405,11711579,5777657,7496886,7253154,2145912,650816,238436,34552,15837,"PA",0,"Pennsylvania","Pennsylvania"
"40","State",2020-01-22,44,"RI",NA,"",204283,853032,4092905,1005885,1040933,501486,638703,650399,213662,33296,5448,1243,1850,"RI",0,"Rhode Island","Rhode Island"
"41","State",2020-01-22,45,"SC",NA,"",874714,4209413,18714142,4188980,4579782,2408232,3091378,3082067,933571,281671,118234,22551,7676,"SC",0,"South Carolina","South Carolina"
"42","State",2020-01-22,46,"SD",NA,"",178198,704037,3128840,822462,876175,377759,416134,350172,162019,80413,35723,6013,1970,"SD",0,"South Dakota","South Dakota"
"43","State",2020-01-22,47,"TN",NA,"",1225379,5544631,24629644,5581446,6006634,3057343,3961004,4111929,1302243,396101,159416,41014,12514,"TN",0,"Tennessee","Tennessee"
"44","State",2020-01-22,48,"TX",NA,"",4894002,23807843,94342336,22919481,23601024,11447711,14374874,14617012,5048091,1487997,643556,143141,59449,"TX",0,"Texas","Texas"
"45","State",2020-01-22,49,"UT",NA,"",603540,2557565,13192979,3436352,3425800,1668356,1980540,1767938,612277,174582,94744,23199,9191,"UT",0,"Utah","Utah"
"46","State",2020-01-22,50,"VT",NA,"",132591,493708,2610642,582189,686204,343454,363763,421798,166251,37455,7594,772,1162,"VT",0,"Vermont","Vermont"
"47","State",2020-01-22,51,"VA",NA,"",1557838,6959847,33549676,8333086,8063667,4119340,5261206,5330698,1753207,500847,144187,27696,15742,"VA",0,"Virginia","Virginia"
"48","State",2020-01-22,53,"WA",NA,"",1450486,6085105,28438392,7707646,7291940,3396966,4278922,4125562,1217566,291011,89945,15132,23702,"WA",0,"Washington","Washington"
"49","State",2020-01-22,54,"WV",NA,"",392298,1413534,6762898,1676554,1733604,851844,1013076,953957,369876,119360,37935,5373,1319,"WV",0,"West Virginia","West Virginia"
"50","State",2020-01-22,55,"WI",NA,"",1080939,4732629,20417214,4635972,5012614,2499345,3202680,3293161,1216441,376849,143505,24759,11888,"WI",0,"Wisconsin","Wisconsin"
"51","State",2020-01-22,56,"WY",NA,"",127973,449764,2317848,625177,680341,317369,234933,192195,149719,80124,32444,4011,1535,"WY",0,"Wyoming","Wyoming"
"52","State",2020-01-23,1,"AL",NA,"",830008,4057863,15638587,3310832,3790801,2057390,2584748,2540811,891572,313638,116084,27059,5652,"AL",1,"Alabama","Alabama"
"53","State",2020-01-23,2,"AK",NA,"",169112,568326,2799495,822724,754942,386074,396841,277951,123172,20754,11431,1754,3852,"AK",1,"Alaska","Alaska"
"54","State",2020-01-23,4,"AZ",NA,"",1386647,5784999,25594996,6997237,6136549,3039119,3760067,3945653,1199996,309029,155657,29747,21942,"AZ",1,"Arizona","Arizona"
"55","State",2020-01-23,5,"AR",NA,"",547502,2466323,9613508,2211413,2503006,1219819,1467763,1400918,521355,191088,77085,17744,3317,"AR",1,"Arkansas","Arkansas"
"56","State",2020-01-23,6,"CA",NA,"",7240707,32316338,147526953,41448683,37323883,16960178,20870152,20575498,7357703,2204509,586759,131739,67849,"CA",1,"California","California"
"57","State",2020-01-23,8,"CO",NA,"",1178854,4516710,24877020,6465915,6199635,3000330,3836074,3789721,1051916,361069,113090,30352,28918,"CO",1,"Colorado","Colorado"
