"","Province.State","days","sumcase","treatment","id","newcase2","dataQualityGrade","totalTestResults","totalTestResultsIncrease","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500","abb","state","X","FIST","area","Physicians.num","Physicians.per","election","gdp.2019","inc.2019q4","pop.2019q4","inc.per.2019q4","Population.density.per.square.miles","Population.2018","Square.Miles","Number.Homeless..2019.","Percent.Unemployed..2018.","Percent.living.under.the.federal.poverty.line..2018.","Percent.at.risk.for.serious.illness.due.to.COVID","All.cause.deaths.2018","Date.closed.K.12.schools","Closed.day.cares","Date.banned.visitors.to.nursing.homes","Closed.non.essential.businesses","Closed.restaurants.except.take.out","Closed.gyms","Closed.movie.theaters","Alcohol.Liquor.Stores.Open","Keep.Firearms.Sellers.Open","State.of.emergency","Mandate.face.mask.use.by.all.individuals.in.public.spaces","Face.mask.mandate.enforced.by.fines","Face.mask.mandate.enforced.by.criminal.charge.citation","No.legal.enforcement.of.face.mask.mandate","Mandate.face.mask.use.by.employees.in.public.facing.businesses","lagy1","lagtreat","mintime"
"1","Alabama",56,39,0,1,10,"",74,10,"State","2020-03-18",1,"AL",NA,NA,1039512,3848359,16051081,3816732,3800436,2021799,2513161,2478001,903714,335335,145917,29659,6327,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,29,0,56
"2","Alabama",57,51,0,1,12,"",96,22,"State","2020-03-19",1,"AL",NA,NA,1066555,3821316,15715724,3733230,3769293,1961833,2473297,2389657,884302,329403,140107,28797,5805,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,39,0,56
"3","Alabama",58,78,0,1,27,"",109,13,"State","2020-03-20",1,"AL",NA,NA,1069281,3818590,15615071,3575230,3886457,2009802,2437641,2377309,832145,304706,153777,31344,6660,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,51,0,56
"4","Alabama",59,106,0,1,28,"",152,43,"State","2020-03-21",1,"AL",NA,NA,1203468,3684403,14242280,3412241,3696054,1900508,2272240,1953362,622096,228945,122971,26740,7123,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,78,0,56
"5","Alabama",60,131,0,1,25,"",1602,1450,"State","2020-03-22",1,"AL",NA,NA,1210417,3677454,11376206,2817136,3025365,1520044,1776073,1467603,433682,185441,116904,27721,6237,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,106,0,56
"6","Alabama",61,157,0,1,26,"C",1832,230,"State","2020-03-23",1,"AL",NA,NA,1050319,3837552,12802455,2984515,3152593,1602775,1989115,1959305,695618,266960,122338,24002,5234,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,131,0,56
"7","Alabama",62,196,0,1,39,"C",2321,489,"State","2020-03-24",1,"AL",NA,NA,1050351,3837520,13089135,3164982,3195061,1642150,2015726,1950762,699941,269131,120299,25775,5308,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,157,0,56
"8","Alabama",63,242,0,1,46,"C",2812,491,"State","2020-03-25",1,"AL",NA,NA,1035915,3851956,13578856,3300064,3250709,1725453,2109843,2041446,720928,280488,119773,24953,5199,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,196,0,56
"9","Alabama",64,381,0,1,139,"C",4099,1287,"State","2020-03-26",1,"AL",NA,NA,1030277,3857594,14025279,3442640,3360713,1802443,2168580,2087940,744122,276169,114511,23455,4706,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,242,0,56
"10","Alabama",65,517,0,1,136,"B",4771,672,"State","2020-03-27",1,"AL",NA,NA,1017128,3870743,14410228,3542905,3527512,1832218,2244272,2118317,720947,274307,121608,23267,4875,"AL","Alabama",1,1000,135767,16595,340,"R",202940.3,217655,4910540,44324,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,381,0,56
