"","states","FIST","area","Physicians.num","Physicians.per","election","gdp.2019","inc.2019q4","pop.2019q4","inc.per.2019q4"
"1","Alabama"," 01000",135767,16595,340,"R",202940.3,217655,4910540,44324
"2","Alaska"," 02000",1723337,4495,610,"R",54442.9,45947.4,730430,62905
"3","Arizona"," 04000",295234,27535,384,"R",321431.9,343249.7,7326194,46852
"4","Arkansas"," 05000",137732,10814,359,"R",119443.4,136963.7,3021757,45326
"5","California"," 06000",423967,157638,399,"B",2792029.1,2686709.4,39545444,67940
"6","Colorado"," 08000",269601,25070,440,"B",353076.6,357098,5785620,61722
"7","Connecticut"," 09000",14357,20146,564,"B",248818.7,283925.9,3565332,79635
"8","Delaware"," 10000",6446,5795,599,"B",63280.2,53324.7,977321,54562
"9","District of Columbia"," 11000",177,11513,1639,"B",125935.5,60474.4,707691,85453
"10","Florida"," 12000",170312,80011,376,"R",950759.1,1132541.2,21589766,52457
"11","Georgia"," 13000",153910,37320,355,"R",539536.3,518232.3,10658876,48620
"12","Hawaii"," 15000",28313,9931,699,"B",83509.4,82402.7,1414484,58256
"13","Idaho"," 16000",216443,6599,376,"R",72494.4,83367.4,1801410,46279
"14","Illinois"," 17000",149995,47494,373,"B",782019,752918.5,12656158,59490
"15","Indiana"," 18000",94326,31264,467,"R",332040.6,332360.8,6747410,49258
"16","Iowa"," 19000",145746,12712,403,"R",173688.4,167942.5,3158301,53175
"17","Kansas"," 20000",213100,10351,356,"R",155944.3,158382.2,2914866,54336
"18","Kentucky"," 21000",104656,19528,437,"R",189365.6,199120.3,4470743,44539
"19","Louisiana"," 22000",135659,17538,376,"R",240475.3,224918.7,4646040,48411
"20","Maine"," 23000",91633,7290,545,"B",58528.4,69674.4,1346487,51745
"21","Maryland"," 24000",32131,30279,501,"B",374385.6,402148.3,6051298,66457
"22","Massachusetts"," 25000",27336,35817,519,"B",518718.6,520516.4,6900052,75437
"23","Michigan"," 26000",250487,43145,432,"R",473859.6,508906.2,9991363,50935
"24","Minnesota"," 27000",225163,24964,445,"B",338752.3,341639.9,5653499,60430
"25","Mississippi"," 28000",125438,10836,363,"R",104209.2,118767.6,2975602,39914
"26","Missouri"," 29000",180540,27950,456,"R",290956.2,308154.1,6144961,50147
"27","Montana"," 30000",380831,6044,569,"R",47180.7,53519.2,1072125,49919
"28","Nebraska"," 31000",200330,10147,526,"R",114877.2,108397.7,1938198,55927
"29","Nevada"," 32000",286380,10075,332,"B",154139.4,159486.1,3101029,51430
"30","New Hampshire"," 33000",24214,7374,544,"B",77872.8,87157.7,1362446,63971
"31","New Jersey"," 34000",22591,39259,441,"B",563949.5,635173.8,8884678,71491
"32","New Mexico"," 35000",314917,9407,449,"B",97092,93555.1,2099104,44569
"33","New York"," 36000",141297,97592,499,"B",1461558.7,1398410.2,19433507,71959
"34","North Carolina"," 37000",139391,41878,403,"R",508625.1,508594.5,10531579,48292
"35","North Dakota"," 38000",183108,4207,553,"R",54099.6,44530.2,764138,58275
"36","Ohio"," 39000",116098,48471,415,"R",615600.2,597959.4,11696776,51122
"37","Oklahoma"," 40000",181037,13764,349,"R",201314,190700,3964285,48105
"38","Oregon"," 41000",254799,16101,384,"B",222384.3,228622.2,4232328,54018
"39","Pennsylvania"," 42000",119280,56981,445,"R",728018,761361.2,12808597,59441
"40","Rhode Island"," 44000",4001,5543,524,"B",55047.6,60568.3,1060321,57123
"41","South Carolina"," 45000",82933,20642,406,"R",213451.2,237232.6,5175458,45838
"42","South Dakota"," 46000",199729,4642,526,"R",46810.4,48699.9,887196,54892
"43","Tennessee"," 47000",109153,24340,360,"R",330802,335007.1,6853514,48881
"44","Texas"," 48000",695662,83334,290,"R",1788527.3,1541180.2,29143921,52882
"45","Utah"," 49000",219882,11546,365,"R",164808.3,158557.8,3226182,49147
"46","Vermont"," 50000",24906,3715,593,"B",30484.7,35569.8,623970,57006
"47","Virginia"," 51000",110787,38977,458,"B",485998.4,520966.9,8550996,60925
"48","Washington"," 53000",184661,30174,400,"B",531224.1,503063.9,7650317,65757
"49","West Virginia"," 54000",62756,8280,459,"R",72161.5,75711.5,1788142,42341
"50","Wisconsin"," 55000",169635,27675,476,"R",305874.4,316517,5830072,54290
"51","Wyoming"," 56000",253335,4197,726,"R",39306.6,36991.2,579324,63852
