"","Country.Region","Lat","Long","X1.22.20","X1.23.20","X1.24.20","X1.25.20","X1.26.20","X1.27.20","X1.28.20","X1.29.20","X1.30.20","X1.31.20","X2002.1.20","X2002.2.20","X2002.3.20","X2002.4.20","X2002.5.20","X2002.6.20","X2002.7.20","X2002.8.20","X2002.9.20","X2002.10.20","X2002.11.20","X2002.12.20","X2.13.20","X2.14.20","X2.15.20","X2.16.20","X2.17.20","X2.18.20","X2.19.20","X2.20.20","X2.21.20","X2.22.20","X2.23.20","X2.24.20","X2.25.20","X2.26.20","X2.27.20","X2.28.20","X2.29.20","X2003.1.20","X2003.2.20","X2003.3.20","X2003.4.20","X2003.5.20","X2003.6.20","X2003.7.20","X2003.8.20","X2003.9.20","X2003.10.20","X2003.11.20","X2003.12.20","X3.13.20","X3.14.20","X3.15.20","X3.16.20","X3.17.20","X3.18.20","X3.19.20","X3.20.20","X3.21.20","X3.22.20","X3.23.20","X3.24.20","X3.25.20","X3.26.20","X3.27.20","X3.28.20","X3.29.20","X3.30.20","X3.31.20","X2004.1.20","X2004.2.20","X2004.3.20","X2004.4.20","X2004.5.20","X2004.6.20","X2004.7.20","X2004.8.20","X2004.9.20","X2004.10.20","X2004.11.20","X2004.12.20","X4.13.20","X4.14.20","X4.15.20","X4.16.20","X4.17.20","X4.18.20","X4.19.20","X4.20.20","X4.21.20","X4.22.20","X4.23.20","X4.24.20","X4.25.20","X4.26.20","X4.27.20","X4.28.20","X4.29.20","X4.30.20","X2005.1.20","X2005.2.20","X2005.3.20","X2005.4.20","X2005.5.20","X2005.6.20","X2005.7.20","X2005.8.20","X2005.9.20","X2005.10.20","X2005.11.20","X2005.12.20","X5.13.20","X5.14.20","X5.15.20","X5.16.20","X5.17.20","X5.18.20","X5.19.20","X5.20.20","X5.21.20","X5.22.20","X5.23.20","X5.24.20","X5.25.20","X5.26.20","X5.27.20","X5.28.20","X5.29.20","X5.30.20","X5.31.20","X2006.1.20","X2006.2.20","X2006.3.20","X2006.4.20","X2006.5.20","X2006.6.20","X2006.7.20","X2006.8.20","X2006.9.20","X2006.10.20","X2006.11.20","X2006.12.20","X6.13.20","X6.14.20","X6.15.20","X6.16.20","X6.17.20","X6.18.20","X6.19.20","X6.20.20","X6.21.20","X6.22.20","X6.23.20","X6.24.20","X6.25.20","X6.26.20","X6.27.20","X6.28.20","X6.29.20","X6.30.20"
"1","Australia","-35.4735","149.0124","0","0","0","0","4","5","5","6","9","9","12","12","12","13","13","14","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","25","27","30","39","52","55","60","63","76","91","107","128","128","200","250","297","377","452","568","681","791","1071","1549","1682","2044","2364","2810","3143","3640","3984","4361","4559","4862","5116","5330","5550","5687","5797","5895","6010","6108","6215","6303","6315","6351","6415","6440","6462","6522","6568","6610","6623","6645","6652","6662","6677","6694","6714","6721","6744","6752","6766","6778","6799","6822","6847","6875","6894","6913","6918","6939","6948","6970","6980","6989","7019","7035","7044","7054","7068","7072","7081","7095","7099","7114","7114","7126","7139","7150","7165","7184","7192","7202","7221","7229","7240","7247","7252","7259","7265","7267","7274","7285","7289","7294","7320","7335","7347","7370","7391","7409","7411","7461","7474","7492","7521","7558","7595","7601","7686","7764","7834","7920"
"2","Austria","47.5162","14.5501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","3","9","14","18","21","29","41","55","79","104","131","182","246","302","504","655","860","1018","1332","1646","2013","2388","2814","3582","4474","5283","5588","6909","7657","8271","8788","9618","10180","10711","11129","11524","11781","12051","12297","12639","12942","13244","13555","13806","13945","14041","14226","14336","14476","14595","14671","14749","14795","14873","14925","15002","15071","15148","15225","15274","15357","15402","15452","15531","15558","15597","15621","15650","15684","15752","15774","15833","15871","15882","15961","15997","16058","16109","16201","16242","16269","16321","16353","16404","16436","16486","16503","16539","16557","16591","16628","16655","16685","16731","16733","16759","16771","16805","16843","16898","16902","16968","16979","17005","17034","17064","17078","17109","17135","17189","17203","17223","17271","17323","17341","17380","17408","17449","17477","17522","17580","17654","17723","17766"
"3","Belgium","50.8333","4.469936","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","8","13","23","50","109","169","200","239","267","314","314","559","689","886","1058","1243","1486","1795","2257","2815","3401","3743","4269","4937","6235","7284","9134","10836","11899","12775","13964","15348","16770","18431","19691","20814","22194","23403","24983","26667","28018","29647","30589","31119","33573","34809","36138","37183","38496","39983","40956","41889","42797","44293","45325","46134","46687","47334","47859","48519","49032","49517","49906","50267","50509","50781","51420","52011","52596","53081","53449","53779","53981","54288","54644","54989","55280","55559","55791","55983","56235","56511","56810","57092","57342","57455","57592","57849","58061","58186","58381","58517","58615","58685","58767","58907","59072","59226","59348","59437","59569","59711","59819","59918","60029","60100","60155","60244","60348","60476","60550","60550","60550","60810","60898","61007","61106","61209","61295","61361","61427"
"4","Canada","53.9333","-116.5765","0","0","0","0","1","1","2","2","2","4","4","4","4","4","5","5","7","7","7","7","7","7","7","7","7","7","8","8","8","8","9","9","9","10","11","11","13","14","20","24","27","30","33","37","49","54","64","77","79","108","117","193","198","252","415","478","657","800","943","1277","1469","2088","2790","3251","4042","4682","5576","6280","7398","8527","9560","11284","12437","12978","15756","16563","17872","19141","20654","22059","23316","24299","25680","27035","28209","30809","32814","34356","35633","37658","39402","41663","43299","44919","46371","48033","49616","51150","52865","54457","56343","57926","60504","61957","63215","64694","66201","67674","68918","70091","71264","72419","73568","74781","75959","77206","78332","79411","80493","81575","82742","83947","85151","86106","87119","88090","88989","89976","90909","91681","92479","93288","93960","94641","95269","95947","96475","97178","97779","98241","98720","99159","99595","100043","100404","100763","101087","101491","101877","102314","102762","103078","103418","103767","104087","104463","104629","104878","105193","105830","106097"
"5","Chile","-35.6751","-71.543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","9","9","10","10","13","13","13","20","20","25","35","35","55","88","101","182","228","265","265","461","592","687","801","977","1197","1361","1665","2015","2245","2555","2844","3137","3510","3843","4355","4665","5009","5310","5740","6166","6695","7366","7652","7964","8356","8712","9246","9691","10598","10956","11375","11700","12164","12680","13174","14537","15010","15492","16044","16564","17702","18687","21213","22441","23421","24794","25826","27359","28750","32208","33855","35052","36710","39370","42029","44531","50016","52369","54647","58167","62205","66169","70445","80287","83996","88891","92855","97183","101837","105532","118720","123550","129020","132548","137490","142154","146361","160351","166756","171452","175365","181062","186698","193452","201634","208572","213715","218728","220628","225103","231393","236748","242355","246963","250767","254416","259064","263360","267766","271982","275999","279393"
"6","Colombia","4.5709","-74.2973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","9","9","13","22","34","57","75","102","108","158","196","231","277","378","470","491","539","608","702","798","906","1065","1161","1267","1406","1485","1579","1780","2054","2223","2473","2709","2776","2852","2979","3105","3233","3439","3621","3792","3977","4149","4356","4561","4881","5142","5379","5597","5949","6207","6507","7006","7285","7668","7973","8613","8959","9456","10051","10495","11063","11613","12272","12930","13610","14216","14939","15574","16295","16935","17687","18330","19131","20177","21175","21981","23003","24104","25366","26688","28236","29383","30493","31833","33354","35120","36635","38027","39236","40719","42078","43682","45212","46858","48746","50939","53063","54931","57046","60217","63276","65633","68652","71183","73572","77113","80599","84442","88591","91769","95043","97846"
"7","Czech Republic","49.8175","15.473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","5","8","12","18","19","31","31","41","91","94","141","189","253","298","396","464","694","833","995","1120","1236","1394","1654","1925","2279","2631","2817","3001","3308","3508","3858","4091","4472","4587","4822","5017","5312","5569","5732","5831","5991","6059","6111","6216","6433","6549","6606","6746","6900","7033","7132","7187","7273","7352","7404","7445","7504","7579","7682","7737","7755","7781","7819","7896","7974","8031","8077","8095","8123","8176","8221","8269","8351","8406","8455","8475","8586","8647","8721","8754","8813","8890","8955","9002","9050","9086","9140","9196","9230","9268","9302","9364","9438","9494","9529","9567","9628","9697","9751","9824","9855","9938","9991","10024","10064","10111","10162","10280","10406","10448","10498","10523","10650","10777","10870","11038","11298","11603","11805","11954"
"8","Denmark","61.8926","-6.9118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","4","6","11","11","24","24","37","92","264","444","617","804","836","875","933","1025","1116","1225","1337","1420","1514","1572","1718","1862","2023","2200","2366","2564","2755","3039","3290","3573","3946","4269","4561","4875","5266","5597","5830","6014","6191","6369","6513","6706","6876","7074","7268","7437","7580","7711","7891","8108","8271","8408","8643","8773","8896","9049","9206","9356","9509","9605","9721","9868","10019","10136","10281","10416","10517","10627","10711","10789","10865","10911","10989","11056","11125","11166","11242","11315","11380","11428","11487","11559","11586","11627","11680","11712","11793","11833","11869","11899","11934","11971","12011","12075","12124","12148","12162","12201","12216","12235","12299","12339","12393","12417","12450","12494","12544","12591","12591","12591","12727","12761","12815","12836","12875","12875","12875","12951","12968"
"9","Estonia","58.5953","25.0136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","3","10","10","10","10","12","16","16","79","115","171","205","225","258","267","283","306","326","352","369","404","538","575","645","679","715","745","779","858","961","1039","1097","1108","1149","1185","1207","1258","1304","1309","1332","1373","1400","1434","1459","1512","1528","1535","1552","1559","1592","1605","1635","1643","1647","1660","1666","1689","1694","1699","1700","1703","1711","1713","1720","1725","1733","1739","1741","1746","1751","1758","1766","1770","1774","1784","1791","1794","1800","1807","1821","1823","1824","1834","1840","1851","1859","1865","1869","1870","1870","1880","1890","1910","1931","1939","1940","1947","1958","1965","1970","1973","1973","1974","1975","1977","1977","1979","1981","1981","1981","1982","1983","1984","1986","1986","1987","1987","1989"
"10","Finland","61.92411","25.748151","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","6","6","6","6","12","15","15","23","30","40","59","59","155","225","244","277","321","336","400","450","523","626","700","792","880","958","1041","1167","1240","1352","1418","1446","1518","1615","1882","1927","2176","2308","2487","2605","2769","2905","2974","3064","3161","3237","3369","3489","3681","3783","3868","4014","4129","4284","4395","4475","4576","4695","4740","4906","4995","5051","5176","5254","5327","5412","5573","5673","5738","5880","5962","5984","6003","6054","6145","6228","6286","6347","6380","6399","6443","6493","6537","6568","6579","6599","6628","6692","6743","6776","6826","6859","6885","6887","6911","6911","6941","6964","6981","7001","7025","7040","7064","7073","7087","7104","7108","7112","7117","7119","7133","7142","7143","7144","7155","7167","7172","7191","7198","7198","7209","7214"
